"lat_grid","lon_grid","year","month","NumNLOG","NumOBS","NLOG_stand","chlamean","chlasd","sstmean","sstsd","slamean","slasd","FSLEmean","FSLEsd","SSCImean","SSCIsd","MNmean","MNsd","Zone","Season"
-12,48,2018,3,0,7,0,0.130498913693671,0.0395648528104922,28.415390625,0.162881943535071,0.021896875,0.0347257462179983,-0.0733240681719395,0.0769857423292067,0.299059619394365,0.14004169934943,0.421120745552623,NA,"Moz","DJFM"
-12,56,2016,4,0,6,0,0.0868419474669887,0.00515430136458901,29.209140625,0.18752429406105,0.0777046875,0.0287454478366465,-0.0551942112971346,0.0426830730593015,0.0758973475785634,0.0267201631121101,0.268476016690989,NA,"Moz","AM"
-14,46,2014,4,0,10,0,0.110686735413926,0.19022812157392,28.8059375,0.241571828681861,0.14,0.0191029624562049,-0.0891222004130688,0.0630729016981273,0.165527934768023,0.0636856051881582,0.425369558136189,NA,"Moz","AM"
-14,48,2018,3,0,6,0,0.989553684126365,1.22495578623617,29.0115555555556,0.464940003732424,0.0182307692307692,0.0169095917011019,-0.0409163837056608,0.076404002218347,0.162657273829365,0.233395706339253,1.07054952642327,NA,"Moz","DJFM"
-16,42,2017,3,0,8,0,0.11451338523572,0.0125475294767517,29.540828125,0.177871056800207,-0.00759375,0.0695885683802041,-0.114484563343756,0.121121681686555,0.29704832627334,0.147573854468274,0.480125435053848,NA,"Moz","DJFM"
-16,44,2017,3,0,13,0,0.215135916106056,0.40078667213937,29.9305806451613,0.198779930080618,0.02006875,0.0206403663296518,-0.100279164882294,0.085459828495598,0.105327422517255,0.0760078354440352,0.798795761853788,NA,"Moz","DJFM"
-18,56,2014,6,0,6,0,0.0948308327481047,0.00677225639838514,26.2170625,0.109592879359698,0.055384375,0.0297777066859789,-0.0544059085039298,0.0316983342605414,0.170234101672113,0.0319062217609919,0.353277507342433,NA,"Moz","JJAS"
-20,56,2014,8,0,6,0,0.100246214463065,0.00992791711545857,24.2325,0.206069336458803,0.0402546875,0.0111106688280029,-0.0563423932833537,0.0391894854951289,0.0939049789775469,0.0468146413827409,0.375681084979634,NA,"Moz","JJAS"
