"lat_grid","lon_grid","year","month","NumNLOG","NumOBS","NLOG_stand","chlamean","chlasd","sstmean","sstsd","slamean","slasd","FSLEmean","FSLEsd","SSCImean","SSCIsd","MNmean","MNsd","Zone","Season"
-12,42,2016,5,10,21,0.476190476190476,0.123836641051966,0.0095871591843616,28.078984375,0.1921324354914,0.036125,0.028632155305885,-0.0976385293436627,0.109259613970982,0.420046121117951,0.186714636025404,0.314357268055218,NA,"MOZ","AM"
-12,44,2015,3,5,6,0.833333333333333,0.0888432127313637,0.0123885315357794,28.700578125,0.143408928535604,0.1327796875,0.0295324528498627,-0.0588117096876906,0.0509964025077206,0.269009318006155,0.111076998143644,0.375844594348209,NA,"MOZ","DJFM"
-12,44,2016,3,4,7,0.571428571428571,0.0920447682114577,0.0119712926501061,30.031359375,0.198302267850178,0.1122703125,0.0135498102802568,-0.0861086303178101,0.0764633116369135,0.393127182476588,0.129882587118893,0.315005694562736,NA,"MOZ","DJFM"
-12,44,2016,5,1,9,0.111111111111111,0.125759569355675,0.00336782230471145,27.74,0.331673247123043,0.0936484375,0.028445291362446,-0.0832230073097492,0.0927087590229845,0.453920414766784,0.198335907419178,0.324125141436968,NA,"MOZ","AM"
-12,46,2015,4,7,8,0.875,0.0976098334116007,0.0329957925918119,29.022921875,0.377519191341777,0.097884375,0.0159624879585044,-0.0660976043734203,0.0685080188547447,0.342502639161378,0.161705557360471,0.370991000857342,NA,"MOZ","AM"
-12,48,2016,3,4,6,0.666666666666667,0.0848235358345726,0.0632206440986195,29.82909375,0.142192996361585,0.0823203125,0.00897329688819281,-0.0669320211101684,0.0650432693716962,0.357093628305595,0.19733269396929,0.236472958029884,NA,"MOZ","DJFM"
-14,42,2015,4,21,19,1.10526315789474,0.157136709745722,0.0139255019231122,29.120546875,0.148831632762374,0.02301875,0.0288792993088722,-0.0951804369052003,0.0724801248054825,0.218886194972171,0.0593054585949986,0.356114584076424,NA,"MOZ","AM"
-14,44,2015,3,4,7,0.571428571428571,0.107622269988587,0.028501690652184,28.894296875,0.107992604051212,0.09531875,0.0184293922851515,-0.0989311034786605,0.0763270664475163,0.149846131057249,0.116514464386006,0.401450953293977,NA,"MOZ","DJFM"
-14,44,2015,4,25,29,0.862068965517241,0.160249177501422,0.0409113663273242,29.53390625,0.159742721596868,0.063609375,0.0465214567964108,-0.105480816845049,0.0798854575901024,0.179423598753488,0.123803203570799,0.447199319554924,NA,"MOZ","AM"
-14,44,2017,3,1,9,0.111111111111111,0.107242937331407,0.0280216539771184,29.722078125,0.171336881998408,-0.0266484375,0.0232117785657736,-0.105361147995221,0.0774205695159557,0.194584985403122,0.0756838341582357,0.439697346098712,NA,"MOZ","DJFM"
-14,44,2017,6,3,10,0.3,0.155400156764175,0.0475363789183243,27.550671875,0.0674174520967844,0.122434375,0.0403021690650665,-0.0908799244395892,0.088060306321545,0.269235135826792,0.11888742305267,0.453794463074292,NA,"MOZ","JJAS"
-14,46,2014,4,2,10,0.2,0.110686735413926,0.19022812157392,28.8059375,0.241571828681861,0.14,0.0191029624562049,-0.0891222004130688,0.0630729016981273,0.165527934768023,0.0636856051881582,0.425369558136189,NA,"MOZ","AM"
-14,46,2015,3,30,13,2.30769230769231,0.119893235208801,0.171659867152122,29.102,0.22367798566207,0.11089375,0.0250123072880735,-0.0768936310927863,0.0463584082045829,0.122787820383104,0.0507999658512687,0.836805880536993,NA,"MOZ","DJFM"
-14,46,2015,4,5,19,0.263157894736842,0.177057074743334,0.190895975606936,29.899125,0.205004723135679,0.09153125,0.0395539530061497,-0.0757241788232683,0.0521018918070319,0.138567608585488,0.065649678046724,0.949526171277886,NA,"MOZ","AM"
-14,46,2016,3,25,22,1.13636363636364,0.135061952616887,0.167147825838501,30.196859375,0.156950590464713,0.0545125,0.0234305627299318,-0.0783445372443987,0.0843308283798506,0.224443058140669,0.0951750207644137,0.574568380256135,NA,"MOZ","DJFM"
-14,46,2016,4,14,7,2,0.170607194889659,0.220369390010133,29.8299375,0.274135343412586,0.040940625,0.0358591323240224,-0.101757667984358,0.0894914499243368,0.314740290011296,0.109437625186342,0.398041089108824,NA,"MOZ","AM"
-14,46,2017,3,1,8,0.125,0.122305378723218,0.147758462759175,29.7644375,0.192195079054325,0.00934375,0.0263284918695884,-0.103057248344355,0.0656969210691031,0.224789716862736,0.0994114931582694,0.520519998146662,NA,"MOZ","DJFM"
-14,46,2018,3,2,12,0.166666666666667,0.14898757036316,0.207422370663336,29.5048125,0.153477869248978,0.0104171875,0.0265426913067525,-0.0838021494151514,0.0561044476282087,0.148995233087473,0.0769459965702963,0.692720711532392,NA,"MOZ","DJFM"
-16,42,2015,4,21,29,0.724137931034483,0.168491646886751,0.0338636873335747,29.115171875,0.0961043669931743,0.048709375,0.020131825225368,-0.0883975841394067,0.0753885098826011,0.200074358381146,0.0761903497176176,0.384864844130007,NA,"MOZ","AM"
-16,42,2018,3,4,8,0.5,0.0934977678504462,0.0135757080137261,29.6003125,0.145468141387488,0.02926875,0.0743255897632221,-0.113817356150213,0.125895721568328,0.372353435207475,0.145944533631642,0.497592586571664,NA,"MOZ","DJFM"
-16,44,2015,4,53,36,1.47222222222222,0.262913908966365,0.427253531007266,29.4489032258065,0.14379376279565,0.0903296875,0.0485753405323864,-0.0879268358248006,0.0749898027195835,0.194687250557204,0.0923020703349686,0.487443390805031,NA,"MOZ","AM"
-16,44,2016,3,2,6,0.333333333333333,0.204980532408686,0.443117810346843,30.2095322580645,0.103071949681817,0.026328125,0.0527120282913426,-0.0897196787447038,0.109981790120687,0.299597447217782,0.124708365160332,0.592461047131936,NA,"MOZ","DJFM"
-16,44,2017,6,8,13,0.615384615384615,0.298217942702797,0.607871046865754,27.5133709677419,0.104054247181099,0.05261875,0.0313052704878501,-0.0975019454440322,0.0825654523090922,0.201649757516477,0.100687998421639,0.549238120790125,NA,"MOZ","JJAS"
-16,44,2018,3,7,16,0.4375,0.208516732823029,0.430267669831972,29.6756290322581,0.184777778263599,-0.0263203125,0.0207756892398991,-0.0972624003547016,0.0788591981850856,0.117124789559673,0.0509958796114003,0.593583945642108,NA,"MOZ","DJFM"
-16,46,2015,4,7,8,0.875,0.791242409975101,1.60279220795939,29.5294444444444,0.255526511305183,0.106125,0.0418489594491517,-0.060560109745783,0.0730189182534485,0.198886405595017,0.0713576501789162,1.16295282720505,NA,"MOZ","AM"
-16,46,2016,3,9,10,0.9,0.693811544455447,1.4209547248433,30.2741555555556,0.249295093081159,0.100431818181818,0.0204163041632687,-0.0703592685581112,0.0799570569410441,0.149074941056126,0.0433390454862448,1.00462053144704,NA,"MOZ","DJFM"
-16,46,2017,3,1,8,0.125,0.707383458436118,1.33745047757924,29.8947333333333,0.181342017394556,0.0303886363636364,0.00963035935742097,-0.0899203245313084,0.0740058900522622,0.140654242317923,0.080746414509995,1.25500843016651,NA,"MOZ","DJFM"
-16,46,2018,3,2,8,0.25,0.932120185532935,1.63773255082044,29.3560444444444,0.248594682488616,0.0158568181818182,0.00995100550551674,-0.0813231469749063,0.06463125619933,0.0950571087022332,0.060404419033053,1.02088560458303,NA,"MOZ","DJFM"
-18,40,2017,3,2,7,0.285714285714286,0.115933338602038,0.0613157409299019,29.400890625,0.0869749311058824,0.1099765625,0.163485946915292,-0.117330486663431,0.129765036927416,0.451232713388545,0.154894431464253,0.381157751199574,NA,"MOZ","DJFM"
-20,40,2017,3,7,9,0.777777777777778,0.123801448211048,0.0264542336065464,29.240921875,0.277366373071276,0.0952046875,0.0925144835159244,-0.130846309204183,0.169570978634077,0.417982186368294,0.17346080844771,0.559290914624382,NA,"MOZ","DJFM"
