"lat_grid","lon_grid","micronec_epi","micronec_episd","year","month"
-20,40,0.56564652474971,NA,2014,1
-20,42,0.645329074298603,NA,2014,1
-20,48,0.349705189130477,NA,2014,1
-20,50,0.459042795342944,NA,2014,1
-20,52,0.479499324147279,NA,2014,1
-20,54,0.438489928197058,NA,2014,1
-20,56,0.444091524270189,NA,2014,1
-20,58,0.473719122483305,NA,2014,1
-20,60,0.467620221097312,NA,2014,1
-20,62,0.419432832296089,NA,2014,1
-20,64,0.401161454613797,NA,2014,1
-20,66,0.409520453883595,NA,2014,1
-20,68,0.404365763528853,NA,2014,1
-20,70,0.387258130142392,NA,2014,1
-20,72,0.380400621851299,NA,2014,1
-20,74,0.376271706723732,NA,2014,1
-20,76,0.390506686771282,NA,2014,1
-20,78,0.407505237211984,NA,2014,1
-20,80,0.430067553568805,NA,2014,1
-20,82,0.46188665499183,NA,2014,1
-20,84,0.439707983916085,NA,2014,1
-20,86,0.43864677341715,NA,2014,1
-18,40,0.618970937539842,NA,2014,1
-18,42,0.634537601629988,NA,2014,1
-18,48,0.291345096906084,NA,2014,1
-18,50,0.401394961013745,NA,2014,1
-18,52,0.506774858761859,NA,2014,1
-18,54,0.463762124533027,NA,2014,1
-18,56,0.454160707061409,NA,2014,1
-18,58,0.48398839301643,NA,2014,1
-18,60,0.451816774864249,NA,2014,1
-18,62,0.466455424898788,NA,2014,1
-18,64,0.414715541416519,NA,2014,1
-18,66,0.416584812224873,NA,2014,1
-18,68,0.413059917064951,NA,2014,1
-18,70,0.461300248159997,NA,2014,1
-18,72,0.518409349025965,NA,2014,1
-18,74,0.455309412048255,NA,2014,1
-18,76,0.439551920651735,NA,2014,1
-18,78,0.455524365594577,NA,2014,1
-18,80,0.554582131509152,NA,2014,1
-18,82,0.478182861037339,NA,2014,1
-18,84,0.450002603201149,NA,2014,1
-18,86,0.443435762758537,NA,2014,1
-16,40,0.524753849754669,NA,2014,1
-16,42,0.55060293770907,NA,2014,1
-16,44,0.551483419271132,NA,2014,1
-16,46,0.543628746539069,NA,2014,1
-16,50,0.468226706890805,NA,2014,1
-16,52,0.581639424450428,NA,2014,1
-16,54,0.493263752740477,NA,2014,1
-16,56,0.509495819925487,NA,2014,1
-16,58,0.490233951519474,NA,2014,1
-16,60,0.438915515247569,NA,2014,1
-16,62,0.443067122033821,NA,2014,1
-16,64,0.425826111960302,NA,2014,1
-16,66,0.426162698731748,NA,2014,1
-16,68,0.472143547786366,NA,2014,1
-16,70,0.502110226049779,NA,2014,1
-16,72,0.585579248333824,NA,2014,1
-16,74,0.504004381782305,NA,2014,1
-16,76,0.51928526380076,NA,2014,1
-16,78,0.523875009021505,NA,2014,1
-16,80,0.58179956610151,NA,2014,1
-16,82,0.513994815043344,NA,2014,1
-16,84,0.47744265632991,NA,2014,1
-16,86,0.471286006872692,NA,2014,1
-14,40,0.551082132334084,NA,2014,1
-14,42,0.633700172271775,NA,2014,1
