"lat_grid","lon_grid","sstmean","sstsd","year","month"
-20,38,28.717,0.185414593353844,2014,1
-20,40,28.816859375,0.131600268633332,2014,1
-20,42,29.050515625,0.172135512526088,2014,1
-20,44,29.9414666666667,0.271053992161464,2014,1
-20,48,28.4990967741935,0.256076987751563,2014,1
-20,50,28.417234375,0.161812035005494,2014,1
-20,52,28.33165625,0.161527256410465,2014,1
-20,54,28.28084375,0.160455721900082,2014,1
-20,56,28.3749375,0.155737148823938,2014,1
-20,58,28.4094375,0.0680067398620654,2014,1
-20,60,28.232921875,0.100787739347491,2014,1
-20,62,27.93534375,0.156908953354668,2014,1
-20,64,27.63453125,0.233954138006739,2014,1
-20,66,27.525625,0.422030522480024,2014,1
-20,68,27.9346875,0.376059218360999,2014,1
-20,70,27.711140625,0.375667231469027,2014,1
-20,72,27.477609375,0.169473752913504,2014,1
-20,74,27.181375,0.26261236446187,2014,1
-20,76,27.210625,0.331191188250236,2014,1
-20,78,27.279953125,0.510716285967056,2014,1
-20,80,27.08859375,0.253549451596256,2014,1
-20,82,26.967265625,0.150190169630277,2014,1
-20,84,26.895484375,0.115059679778428,2014,1
-20,86,27.14653125,0.124941272494643,2014,1
-18,38,28.624625,0.400862262593311,2014,1
-18,40,28.774171875,0.276115834600379,2014,1
-18,42,28.83253125,0.273078334522741,2014,1
-18,44,29.47535,0.610680403536217,2014,1
-18,48,28.6696666666667,0.214600514799897,2014,1
-18,50,28.502625,0.170282445105511,2014,1
-18,52,28.2685625,0.113668534407222,2014,1
-18,54,28.413046875,0.154041267371998,2014,1
-18,56,28.408484375,0.0946418465429724,2014,1
-18,58,28.59346875,0.139315670872998,2014,1
-18,60,28.34371875,0.141947169777831,2014,1
-18,62,28.20625,0.134624227164662,2014,1
-18,64,28.19496875,0.14758940994723,2014,1
-18,66,28.462890625,0.269223463987647,2014,1
-18,68,28.567359375,0.148567484232021,2014,1
-18,70,28.49353125,0.108412640384958,2014,1
-18,72,28.2576875,0.261205865110747,2014,1
-18,74,28.17415625,0.277484289202052,2014,1
-18,76,27.95546875,0.204810866585317,2014,1
-18,78,27.69471875,0.22630724085169,2014,1
-18,80,27.7795,0.215453011118434,2014,1
-18,82,27.440328125,0.169232633601778,2014,1
-18,84,27.299796875,0.157561394402158,2014,1
-18,86,27.112625,0.198864153665017,2014,1
-16,40,28.68474,0.228661126150128,2014,1
-16,42,28.801671875,0.178843201226661,2014,1
-16,44,28.9923870967742,0.147217844031453,2014,1
-16,46,29.0874222222222,0.242669293192579,2014,1
-16,48,28.577,0.370019819289004,2014,1
-16,50,28.5089047619048,0.157588553117708,2014,1
-16,52,28.52984375,0.165271802946559,2014,1
-16,54,28.685625,0.249620505618823,2014,1
-16,56,28.873609375,0.249552336794515,2014,1
-16,58,28.79121875,0.140051857600892,2014,1
-16,60,28.7045625,0.146702579477652,2014,1
-16,62,28.74578125,0.182317747113929,2014,1
-16,64,28.7681875,0.223548288523055,2014,1
-16,66,28.925390625,0.309170863387637,2014,1
-16,68,28.831765625,0.222699223609847,2014,1
-16,70,28.691125,0.0734415867657191,2014,1
-16,72,28.63853125,0.090179885264671,2014,1
-16,74,28.688171875,0.182987600819213,2014,1
-16,76,28.522515625,0.296165922618113,2014,1
-16,78,28.20678125,0.354564408313718,2014,1
-16,80,28.33590625,0.302336022393145,2014,1
-16,82,28.109171875,0.34241168736022,2014,1
-16,84,27.993109375,0.267168404009887,2014,1
-16,86,27.8580625,0.119019363428678,2014,1
-14,40,28.6753333333333,0.149036670245997,2014,1
-14,42,28.81740625,0.208993257182185,2014,1
-14,44,28.993296875,0.125173362916118,2014,1
-14,46,29.179375,0.174050941275048,2014,1
-14,48,28.8508888888889,0.392872360849159,2014,1
-14,50,28.591140625,0.195466139412293,2014,1
-14,52,29.00384375,0.189220558192965,2014,1
-14,54,29.320921875,0.137964028517156,2014,1
-14,56,29.47003125,0.12447298027066,2014,1
-14,58,29.3466875,0.198982161998634,2014,1
-14,60,29.252234375,0.204935974685359,2014,1
-14,62,29.137953125,0.118883353486142,2014,1
-14,64,29.3288125,0.13980529260822,2014,1
-14,66,29.382875,0.113564819614035,2014,1
-14,68,29.253953125,0.17540252388978,2014,1
-14,70,29.0204375,0.134489496255933,2014,1
-14,72,28.97953125,0.130959095607072,2014,1
-14,74,29.304140625,0.20639528012226,2014,1
-14,76,29.342375,0.151182901947508,2014,1
-14,78,29.06315625,0.137870795133682,2014,1
-14,80,28.859671875,0.108173589871257,2014,1
-14,82,28.882421875,0.126865358535845,2014,1
-14,84,28.474671875,0.151525057353404,2014,1
-14,86,28.29,0.113383733258973,2014,1
-12,38,29.289,0.011313708498986,2014,1
-12,40,28.5412264150943,0.313988035141311,2014,1
-12,42,28.958984375,0.0892728103770631,2014,1
-12,44,28.817140625,0.140735468074705,2014,1
-12,46,28.955484375,0.248917592801217,2014,1
-12,48,28.557625,0.273967527910164,2014,1
-12,50,28.397640625,0.163476843385884,2014,1
-12,52,28.880578125,0.267054646609629,2014,1
-12,54,29.16796875,0.173864293800453,2014,1
-12,56,29.541875,0.128116948062902,2014,1
-12,58,29.783703125,0.103449961784691,2014,1
-12,60,29.695484375,0.118979655748968,2014,1
-12,62,29.60565625,0.111102586478543,2014,1
-12,64,29.67690625,0.116545068433591,2014,1
-12,66,29.608921875,0.0960514585443244,2014,1
-12,68,29.410375,0.136443197088554,2014,1
-12,70,29.119265625,0.072775637426118,2014,1
-12,72,29.0791875,0.111281264556392,2014,1
-12,74,29.0334375,0.226833333333333,2014,1
-12,76,29.179453125,0.127032545472123,2014,1
-12,78,29.2261875,0.0966904527385905,2014,1
-12,80,28.843515625,0.202508552998876,2014,1
-12,82,28.6598125,0.129702330142694,2014,1
-12,84,28.78834375,0.188370305578691,2014,1
-12,86,28.6090625,0.184651710071307,2014,1
-10,38,28.127625,0.100972326477534,2014,1
-10,40,28.554328125,0.239094990400309,2014,1
-10,42,28.992046875,0.06585395811645,2014,1
-10,44,28.811875,0.119053076065404,2014,1
-10,46,28.66346875,0.0952730360012154,2014,1
-10,48,28.44871875,0.110979544626011,2014,1
-10,50,28.244671875,0.114406412114603,2014,1
-10,52,28.48565625,0.138082816046391,2014,1
-10,54,28.7170625,0.201360048290665,2014,1
-10,56,29.257,0.215244416257795,2014,1
-10,58,29.247984375,0.336010841292762,2014,1
-10,60,29.251609375,0.201027015256893,2014,1
-10,62,29.406125,0.242604943746327,2014,1
-10,64,29.584546875,0.179968950557263,2014,1
-10,66,29.5401875,0.145162839597467,2014,1
-10,68,29.46109375,0.130257829640063,2014,1
-10,70,29.429046875,0.12220675035099,2014,1
-10,72,29.282765625,0.187845152557328,2014,1
-10,74,28.9961875,0.163075586233491,2014,1
-10,76,29.120421875,0.119968620855953,2014,1
-10,78,29.150203125,0.306166164018951,2014,1
-10,80,29.050328125,0.195480852363788,2014,1
-10,82,29.007859375,0.173760816010271,2014,1
-10,84,29.31034375,0.108578874666344,2014,1
-10,86,29.30978125,0.117974227468436,2014,1
-8,38,28.31175,0.11598860781498,2014,1
-8,40,28.6653125,0.108016147381945,2014,1
-8,42,28.912625,0.166893417181184,2014,1
-8,44,29.056390625,0.0876261208406002,2014,1
-8,46,28.877796875,0.114342034888576,2014,1
-8,48,28.495578125,0.166650837790007,2014,1
-8,50,28.103484375,0.110628793316723,2014,1
-8,52,28.3480625,0.0998819740001104,2014,1
-8,54,28.411421875,0.108312716673777,2014,1
-8,56,28.553609375,0.24718026435239,2014,1
-8,58,28.554109375,0.21798129504634,2014,1
-8,60,28.65315625,0.160263792339133,2014,1
-8,62,28.68159375,0.129852629380937,2014,1
-8,64,28.878515625,0.257132600724137,2014,1
-8,66,29.05775,0.243616990571754,2014,1
-8,68,29.245390625,0.214878748916944,2014,1
-8,70,29.320765625,0.228902470545482,2014,1
-8,72,29.234359375,0.125781792306334,2014,1
-8,74,29.336390625,0.116238481892268,2014,1
-8,76,29.198515625,0.218677481743835,2014,1
-8,78,28.61578125,0.236584524225856,2014,1
-8,80,28.366921875,0.119352659340572,2014,1
-8,82,28.658734375,0.262980549838299,2014,1
-8,84,29.044671875,0.127123244123286,2014,1
-8,86,29.069875,0.156408016872331,2014,1
-6,38,28.04975,0.354913570967839,2014,1
-6,40,28.2995625,0.235712151264987,2014,1
-6,42,27.5095,0.501648077491376,2014,1
-6,44,27.977296875,0.65682673126991,2014,1
-6,46,28.425046875,0.175471286457448,2014,1
-6,48,27.9999375,0.393797662774107,2014,1
-6,50,27.883703125,0.275481781709012,2014,1
-6,52,28.32740625,0.165996243861692,2014,1
-6,54,28.100234375,0.113608174055838,2014,1
-6,56,28.09621875,0.100857823668955,2014,1
-6,58,28.301171875,0.156538200083294,2014,1
-6,60,28.42703125,0.152567650230399,2014,1
-6,62,28.45646875,0.0811383237401726,2014,1
-6,64,28.54053125,0.061448899598811,2014,1
-6,66,28.570359375,0.0724431615595704,2014,1
-6,68,28.599234375,0.1509987640218,2014,1
-6,70,28.649671875,0.180283115504783,2014,1
-6,72,28.648390625,0.195467905633985,2014,1
-6,74,28.956265625,0.262837824473964,2014,1
-6,76,29.301046875,0.139161141000937,2014,1
-6,78,28.97378125,0.189620043541548,2014,1
-6,80,28.71921875,0.217747448639218,2014,1
-6,82,28.698921875,0.178858222178554,2014,1
-6,84,28.956625,0.17512548788779,2014,1
-6,86,29.19603125,0.121700712849451,2014,1
-4,38,27.43375,0.463569753830712,2014,1
-4,40,26.9397719298246,0.656569902097905,2014,1
-4,42,26.32128125,0.179743862623439,2014,1
-4,44,26.776234375,0.317146390623191,2014,1
-4,46,27.714859375,0.342123057188375,2014,1
-4,48,27.38709375,0.140482131129431,2014,1
-4,50,27.606984375,0.109350824992715,2014,1
-4,52,28.10609375,0.217343464469533,2014,1
-4,54,28.337375,0.121409643716229,2014,1
-4,56,28.525578125,0.108054190503272,2014,1
-4,58,28.789640625,0.140176461034564,2014,1
-4,60,28.857875,0.138279737178972,2014,1
-4,62,28.801578125,0.167175110614968,2014,1
-4,64,28.773296875,0.112609971602718,2014,1
-4,66,28.715796875,0.0906218691303734,2014,1
-4,68,28.365828125,0.184446366333336,2014,1
-4,70,28.1796875,0.118165860699784,2014,1
-4,72,28.296484375,0.112960168873741,2014,1
-4,74,28.52175,0.120726635979475,2014,1
-4,76,28.916625,0.162123165016356,2014,1
-4,78,29.178296875,0.128039388742076,2014,1
-4,80,29.06034375,0.104629841679328,2014,1
-4,82,28.753515625,0.153822923569526,2014,1
-4,84,28.815390625,0.18866057681468,2014,1
-4,86,29.0525,0.0768962434587316,2014,1
-2,40,26.5818181818182,0.446922771445317,2014,1
-2,42,26.2712068965517,0.181096151510611,2014,1
-2,44,26.38215625,0.16678835735984,2014,1
-2,46,26.82603125,0.270764055242034,2014,1
-2,48,26.789671875,0.206168143328238,2014,1
-2,50,27.238140625,0.426217504172571,2014,1
-2,52,27.877109375,0.334317742464541,2014,1
-2,54,28.004125,0.307657947562569,2014,1
-2,56,28.039953125,0.253683306486807,2014,1
-2,58,28.4595625,0.158004608632806,2014,1
-2,60,28.788796875,0.103622817197988,2014,1
-2,62,28.7898125,0.0997186319378459,2014,1
-2,64,28.876265625,0.101617434166522,2014,1
-2,66,28.684625,0.180722667476115,2014,1
-2,68,28.235,0.168269530577092,2014,1
-2,70,28.033421875,0.0806701700710104,2014,1
-2,72,28.52034375,0.242264922468628,2014,1
-2,74,28.98796875,0.156204482258922,2014,1
-2,76,28.9244375,0.160169738833824,2014,1
-2,78,28.947515625,0.0636401071970156,2014,1
-2,80,28.95440625,0.0988419804697105,2014,1
-2,82,28.79771875,0.121333394655924,2014,1
-2,84,28.788796875,0.108965143645856,2014,1
-2,86,29.01528125,0.0958790348017548,2014,1
0,42,26.499,0.436494506890355,2014,1
0,44,26.3334482758621,0.163067327868055,2014,1
0,46,26.336671875,0.116376244601463,2014,1
0,48,26.2300625,0.0914243333591159,2014,1
0,50,26.4185,0.169787448822867,2014,1
0,52,26.872734375,0.166746765722662,2014,1
0,54,27.08884375,0.143008626529677,2014,1
0,56,27.407875,0.26706972515663,2014,1
0,58,27.7123125,0.416647004297974,2014,1
0,60,28.28628125,0.353348223798995,2014,1
0,62,28.735046875,0.1243042133252,2014,1
0,64,28.79853125,0.0874223408208859,2014,1
0,66,28.78659375,0.126592298814136,2014,1
0,68,28.38821875,0.165473391977021,2014,1
0,70,28.17925,0.222779768822991,2014,1
0,72,28.084015625,0.212005277875864,2014,1
0,74,28.75753125,0.231884958392241,2014,1
0,76,29.019515625,0.141354444985163,2014,1
0,78,29.068484375,0.121094609763973,2014,1
0,80,28.844734375,0.0790949283360951,2014,1
0,82,28.7841875,0.148671244324142,2014,1
0,84,28.64415625,0.0676844261822398,2014,1
0,86,28.69665625,0.106581366577901,2014,1
2,44,26.6137142857143,0.420200235715352,2014,1
2,46,26.3251296296296,0.261206781839801,2014,1
2,48,26.33228125,0.0762174143226579,2014,1
2,50,26.32559375,0.101688868574999,2014,1
2,52,26.701640625,0.132152553403374,2014,1
2,54,26.889890625,0.0651155547182839,2014,1
2,56,26.866375,0.124665075110798,2014,1
2,58,27.0276875,0.198078457679843,2014,1
2,60,27.6661875,0.299677862760284,2014,1
2,62,28.3008125,0.190141874766403,2014,1
2,64,28.482421875,0.0990907560097677,2014,1
2,66,28.616328125,0.0866639293867182,2014,1
2,68,28.783609375,0.126682657786021,2014,1
2,70,28.97709375,0.228563055712222,2014,1
2,72,28.389828125,0.308143213183983,2014,1
2,74,28.10115625,0.341225951242849,2014,1
2,76,28.13203125,0.377212077469543,2014,1
2,78,28.058890625,0.326853450836017,2014,1
2,80,28.064796875,0.362024079690556,2014,1
2,82,28.64853125,0.243976902936869,2014,1
2,84,28.63915625,0.121311643633051,2014,1
2,86,28.657875,0.0966045313837345,2014,1
4,46,26.5125,0.385796189716798,2014,1
4,48,26.1630862068966,0.169925503231616,2014,1
4,50,26.319484375,0.0665241314820755,2014,1
4,52,26.59671875,0.116373163975423,2014,1
4,54,26.83203125,0.0639900708443634,2014,1
4,56,26.956578125,0.081079777426555,2014,1
4,58,27.014515625,0.149869254361186,2014,1
4,60,27.488171875,0.220245069468081,2014,1
4,62,27.995640625,0.143809769320391,2014,1
4,64,28.246921875,0.108385746249585,2014,1
4,66,28.349765625,0.163887567169139,2014,1
4,68,28.305859375,0.178061151185507,2014,1
4,70,28.260296875,0.308472307402989,2014,1
4,72,28.14428125,0.220760695600966,2014,1
4,74,27.563546875,0.257841832265965,2014,1
4,76,27.411453125,0.155139458991293,2014,1
4,78,27.608078125,0.128753400902841,2014,1
4,80,27.34890625,0.358907677864599,2014,1
4,82,28.19909375,0.344420457274084,2014,1
4,84,28.56025,0.104046387701115,2014,1
4,86,28.6015,0.0546413526493886,2014,1
6,48,26.0194615384615,0.221296404086326,2014,1
6,50,26.020390625,0.173176542381898,2014,1
6,52,26.4906875,0.10879569829848,2014,1
6,54,26.655734375,0.150537264509331,2014,1
6,56,26.9275625,0.0881428989477919,2014,1
6,58,27.1173125,0.0543302292423271,2014,1
6,60,27.423046875,0.13959572350837,2014,1
6,62,27.880734375,0.110352284689132,2014,1
6,64,28.059859375,0.0880549733031173,2014,1
6,66,28.078234375,0.0740396166342666,2014,1
6,68,28.218984375,0.10409191484506,2014,1
6,70,28.200265625,0.114780846002837,2014,1
6,72,28.059484375,0.139530049353604,2014,1
6,74,27.845078125,0.10991386305497,2014,1
6,76,27.5035,0.272635636841904,2014,1
6,78,27.4018448275862,0.207228224194007,2014,1
6,80,27.1097083333333,0.536757615054356,2014,1
6,82,27.24109375,0.592940552676183,2014,1
6,84,28.110859375,0.22085446383632,2014,1
6,86,28.17421875,0.249952477338032,2014,1
8,48,26.041,NA,2014,1
8,50,26.0272962962963,0.135881278595751,2014,1
8,52,26.3191875,0.137457049568913,2014,1
8,54,26.209609375,0.277724290435705,2014,1
8,56,26.534359375,0.259436836193719,2014,1
8,58,26.7565,0.311624570622846,2014,1
