"lat_grid","lon_grid","slamean","slasd","year","month"
-20,38,0.146225,0.080451240778854,2014,1
-20,40,0.3350921875,0.0920827410964579,2014,1
-20,42,0.046471875,0.0436732691073591,2014,1
-20,44,0.0853272727272727,0.0133194662737732,2014,1
-20,48,0.066134375,0.0155974896527532,2014,1
-20,50,0.0744421875,0.0216524407853777,2014,1
-20,52,0.122934375,0.0530553206904965,2014,1
-20,54,0.247721875,0.0226338380527917,2014,1
-20,56,0.1598359375,0.0179741999154123,2014,1
-20,58,0.1310609375,0.047200187036176,2014,1
-20,60,0.1184453125,0.0258349826182431,2014,1
-20,62,0.100109375,0.0264546975379685,2014,1
-20,64,0.1440390625,0.0252426674387752,2014,1
-20,66,0.1213046875,0.0251570901343494,2014,1
-20,68,0.1208875,0.0166852895955955,2014,1
-20,70,0.1255828125,0.0163158852839558,2014,1
-20,72,0.1164875,0.0516557300252784,2014,1
-20,74,0.130609375,0.0512449818487873,2014,1
-20,76,0.0386359375,0.0270545326260699,2014,1
-20,78,0.169384375,0.055804304376139,2014,1
-20,80,0.254053125,0.0307559722874957,2014,1
-20,82,0.2390828125,0.0372528833642231,2014,1
-20,84,0.16509375,0.0297592929330153,2014,1
-20,86,0.249475,0.0439268673754384,2014,1
-18,38,0.1178625,0.0606681120641525,2014,1
-18,40,0.17749375,0.0791545301474094,2014,1
-18,42,0.047340625,0.0301389623837887,2014,1
-18,44,0.0713642857142857,0.0172225526180447,2014,1
-18,48,0.07840625,0.00617365032483484,2014,1
-18,50,0.0843875,0.015996611744416,2014,1
-18,52,0.137346875,0.0558841857084953,2014,1
-18,54,0.2479890625,0.0160465505088828,2014,1
-18,56,0.1871140625,0.0141832996719146,2014,1
-18,58,0.1832109375,0.0102296040542703,2014,1
-18,60,0.1776265625,0.00715812873896878,2014,1
-18,62,0.1567,0.0152354536400807,2014,1
-18,64,0.1471796875,0.0168938532983412,2014,1
-18,66,0.07963125,0.0539789784920724,2014,1
-18,68,-0.01558125,0.0392871071181665,2014,1
-18,70,0.0762046875,0.0452152187811206,2014,1
-18,72,0.1420640625,0.019096998577334,2014,1
-18,74,0.10690625,0.0164355873562837,2014,1
-18,76,0.0826875,0.0230522766840384,2014,1
-18,78,0.1004125,0.0416377442476384,2014,1
-18,80,0.248275,0.0366073199376282,2014,1
-18,82,0.2879921875,0.0138754013777208,2014,1
-18,84,0.2716078125,0.0290315335109262,2014,1
-18,86,0.2550875,0.0238482264167759,2014,1
-16,40,0.0763980392156863,0.0300805418182325,2014,1
-16,42,0.0553640625,0.0341394868299438,2014,1
-16,44,0.0585921875,0.0171103171761674,2014,1
-16,46,0.0664022727272727,0.0125993630078254,2014,1
-16,48,0.0886666666666667,0.00648896499194337,2014,1
-16,50,0.112883333333333,0.0454603428095476,2014,1
-16,52,0.193209375,0.044172747896707,2014,1
-16,54,0.2092,0.0227431901546968,2014,1
-16,56,0.1699671875,0.0220844702649831,2014,1
-16,58,0.1574875,0.0127781497530398,2014,1
-16,60,0.1616765625,0.0104340064013462,2014,1
-16,62,0.1484171875,0.0202727791118205,2014,1
-16,64,0.1276578125,0.0201209501865277,2014,1
-16,66,0.08990625,0.0246062314665234,2014,1
-16,68,0.0945125,0.0359981811709848,2014,1
-16,70,0.129034375,0.014433638166252,2014,1
-16,72,0.1389515625,0.0142841125218095,2014,1
-16,74,0.1231,0.018566098136119,2014,1
-16,76,0.1323109375,0.0190635371822963,2014,1
-16,78,0.157615625,0.0110089028726898,2014,1
-16,80,0.161159375,0.0220611251763735,2014,1
-16,82,0.1827609375,0.0368510283597437,2014,1
-16,84,0.1913421875,0.0293480958777026,2014,1
-16,86,0.223028125,0.0131721660201081,2014,1
