"lat_grid","lon_grid","FSLEmean","FSLEsd","year","month"
-20,38,-0.165797370395833,0.17749615929158,2014,1
-20,40,-0.120482108248386,0.115140077842088,2014,1
-20,42,-0.133207514607233,0.130186195709737,2014,1
-20,44,-0.080439975022246,0.0958027561028657,2014,1
-20,48,-0.046808501338823,0.0554280704247131,2014,1
-20,50,-0.053857417975294,0.0387975710388712,2014,1
-20,52,-0.0667698398019518,0.0443124446255405,2014,1
-20,54,-0.0509082252738216,0.0328343902758007,2014,1
-20,56,-0.055881159914357,0.0472176354251376,2014,1
-20,58,-0.0589581569897071,0.0448474022972483,2014,1
-20,60,-0.050785641910304,0.031009694097358,2014,1
-20,62,-0.0684331937930517,0.0545259800479719,2014,1
-20,64,-0.060150875483982,0.0424058519034404,2014,1
-20,66,-0.0588947220008219,0.0406002151927759,2014,1
-20,68,-0.0636181227251647,0.045741694324914,2014,1
-20,70,-0.0668857910031272,0.0471633885324917,2014,1
-20,72,-0.0577285639847238,0.0401222081895551,2014,1
-20,74,-0.0561756073726281,0.0400285064643708,2014,1
-20,76,-0.057314258197695,0.0394861624509406,2014,1
-20,78,-0.062764478444957,0.0416328118046203,2014,1
-20,80,-0.0626046093415589,0.0422253985515975,2014,1
-20,82,-0.0614423274847288,0.0381627248779314,2014,1
-20,84,-0.0671385264404599,0.0457512400782703,2014,1
-20,86,-0.076009195727879,0.0526742888880748,2014,1
-18,38,-0.138900998555604,0.268691996306538,2014,1
-18,40,-0.128537965798618,0.154109779513498,2014,1
-18,42,-0.119007772108408,0.105640266627012,2014,1
-18,44,-0.0590859863819747,0.0663955177392637,2014,1
-18,46,0,0,2014,1
-18,48,-0.0267948766955833,0.0592028695559445,2014,1
-18,50,-0.0555770347340934,0.0405245056957274,2014,1
-18,52,-0.066787172880192,0.0468612705503083,2014,1
-18,54,-0.0478335768059377,0.0336031077112442,2014,1
-18,56,-0.0481317542232813,0.0286799428766361,2014,1
-18,58,-0.0504930461174778,0.0346219892793903,2014,1
-18,60,-0.0459085240665943,0.030360167475893,2014,1
-18,62,-0.0465726389276885,0.036305237880912,2014,1
-18,64,-0.0454069641792245,0.035482906434348,2014,1
-18,66,-0.0559240115273864,0.0409773990281184,2014,1
-18,68,-0.0472571876227375,0.034099436065677,2014,1
-18,70,-0.0489669903001958,0.0300561105763156,2014,1
-18,72,-0.059284448322798,0.0430510317515816,2014,1
-18,74,-0.0558189641114444,0.0403244530812016,2014,1
-18,76,-0.0584558801342643,0.0416756066357954,2014,1
-18,78,-0.0674954459460272,0.0382896340851535,2014,1
-18,80,-0.061237065990822,0.0359315692010913,2014,1
-18,82,-0.0601490030579029,0.037261684232058,2014,1
-18,84,-0.0663101215458685,0.0459401182033168,2014,1
-18,86,-0.0709689913507911,0.056733318585864,2014,1
-16,38,0,0,2014,1
-16,40,-0.115095315273384,0.12498085533305,2014,1
-16,42,-0.125006632934102,0.0949622881119897,2014,1
-16,44,-0.0718781455684042,0.0803569313614609,2014,1
-16,46,-0.0694143475234184,0.0717103491683919,2014,1
-16,48,-0.00541565682584514,0.028466163961519,2014,1
-16,50,-0.0342864658423917,0.0465251772991917,2014,1
-16,52,-0.060451566246921,0.0386288222555365,2014,1
-16,54,-0.0528114832518082,0.0355591317379407,2014,1
-16,56,-0.057094125929571,0.0380339422349969,2014,1
-16,58,-0.0515162976076526,0.0328243730020397,2014,1
-16,60,-0.0443255120662191,0.0299805534732401,2014,1
-16,62,-0.0402590174818472,0.0223691557878034,2014,1
-16,64,-0.0455850967662709,0.0254695267523595,2014,1
-16,66,-0.0544148752106294,0.0321840257910042,2014,1
-16,68,-0.0508235807706271,0.0324302835604528,2014,1
-16,70,-0.0445078645688392,0.0263419679202352,2014,1
-16,72,-0.04769912574695,0.0296703768734212,2014,1
-16,74,-0.0524890922137806,0.031548788742506,2014,1
-16,76,-0.0489982240079391,0.0313639089456854,2014,1
-16,78,-0.0435164382708169,0.0305886465249554,2014,1
-16,80,-0.0500910197972771,0.0324924945662453,2014,1
-16,82,-0.0646199965155653,0.0464093862241141,2014,1
-16,84,-0.0729847117058692,0.05664204781351,2014,1
-16,86,-0.0701753127115388,0.0606526132514384,2014,1
-14,40,-0.107165085442591,0.0898864615154069,2014,1
-14,42,-0.111829878855473,0.0736626065613673,2014,1
-14,44,-0.0880829743861431,0.0650971740559751,2014,1
-14,46,-0.0928229184459581,0.0700269527503821,2014,1
-14,48,-0.0583466799578986,0.0907259762669986,2014,1
